Row,ReliefFsa,Fsa,MutualInfoFsa,CorrelationFsa,CorrelationRidge,ReliefRidge,MutualInfoRidge,Ridge,MutualInfoBoostedTree,ReliefBoostedTree,CorrelationBoostedTree,BoostedRegTree
ReliefFsa,1,0.1055,0.3119,0.0981,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
Fsa,0.1055,1,0.9438,0.333,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MutualInfoFsa,0.3119,0.9438,1,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
CorrelationFsa,0.0981,0.333,<0.05,1,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
CorrelationRidge,<0.05,<0.05,<0.05,<0.05,1,0.0989,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefRidge,<0.05,<0.05,<0.05,<0.05,0.0989,1,0.0566,<0.05,<0.05,<0.05,<0.05,<0.05
MutualInfoRidge,<0.05,<0.05,<0.05,<0.05,<0.05,0.0566,1,0.9052,<0.05,<0.05,<0.05,<0.05
Ridge,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.9052,1,<0.05,<0.05,<0.05,<0.05
MutualInfoBoostedTree,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1,0.7547,0.0828,<0.05
ReliefBoostedTree,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.7547,1,0.2167,<0.05
CorrelationBoostedTree,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0828,0.2167,1,<0.05
BoostedRegTree,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1
