Row,CorrelationRidge,Fsa,ReliefFsa,CorrelationFsa,ReliefRidge,MutualInfoFsa,MutualInfoRidge,ReliefBoostedTree,CorrelationBoostedTree,BoostedRegTree,MutualInfoBoostedTree,Ridge
CorrelationRidge,1,0.9386,0.8179,0.5377,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
Fsa,0.9386,1,0.6667,0.4832,0.0547,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefFsa,0.8179,0.6667,1,0.678,0.0516,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
CorrelationFsa,0.5377,0.4832,0.678,1,0.1194,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefRidge,<0.05,0.0547,0.0516,0.1194,1,0.2259,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MutualInfoFsa,<0.05,<0.05,<0.05,<0.05,0.2259,1,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MutualInfoRidge,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1,0.9665,0.7056,0.1392,<0.05,<0.05
ReliefBoostedTree,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.9665,1,0.8232,0.3709,0.0616,<0.05
CorrelationBoostedTree,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.7056,0.8232,1,0.1836,0.0893,0.0551
BoostedRegTree,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.1392,0.3709,0.1836,1,0.3038,0.141
MutualInfoBoostedTree,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0616,0.0893,0.3038,1,0.3559
Ridge,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0551,0.141,0.3559,1
