Row,Fsa,ReliefFsa,CorrelationFsa,MutualInfoFsa,MutualInfoRidge,CorrelationRidge,CorrelationBoostedTree,MutualInfoBoostedTree,ReliefRidge,ReliefBoostedTree,BoostedRegTree,Ridge
Fsa,1,0.9359,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefFsa,0.9359,1,0.0735,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
CorrelationFsa,<0.05,0.0735,1,0.0626,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MutualInfoFsa,<0.05,<0.05,0.0626,1,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MutualInfoRidge,<0.05,<0.05,<0.05,<0.05,1,0.0761,0.1411,0.236,<0.05,<0.05,<0.05,<0.05
CorrelationRidge,<0.05,<0.05,<0.05,<0.05,0.0761,1,0.2628,0.3388,<0.05,<0.05,<0.05,<0.05
CorrelationBoostedTree,<0.05,<0.05,<0.05,<0.05,0.1411,0.2628,1,0.7865,0.597,0.1572,<0.05,<0.05
MutualInfoBoostedTree,<0.05,<0.05,<0.05,<0.05,0.236,0.3388,0.7865,1,0.8894,0.214,<0.05,<0.05
ReliefRidge,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.597,0.8894,1,0.1352,<0.05,<0.05
ReliefBoostedTree,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.1572,0.214,0.1352,1,<0.05,<0.05
BoostedRegTree,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1,0.0823
Ridge,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0823,1
