Row,MutualInfoBoostedTree,ReliefBoostedTree,BoostedRegTree,CorrelationBoostedTree,MutualInfoRidge,Ridge,CorrelationRidge,Fsa,MutualInfoFsa,CorrelationFsa,ReliefRidge,ReliefFsa
MutualInfoBoostedTree,1,0.2272,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefBoostedTree,0.2272,1,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
BoostedRegTree,<0.05,<0.05,1,0.248,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
CorrelationBoostedTree,<0.05,<0.05,0.248,1,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MutualInfoRidge,<0.05,<0.05,<0.05,<0.05,1,0.9407,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
Ridge,<0.05,<0.05,<0.05,<0.05,0.9407,1,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
CorrelationRidge,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1,<0.05,<0.05,<0.05,<0.05,<0.05
Fsa,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1,<0.05,<0.05,<0.05,<0.05
MutualInfoFsa,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1,<0.05,<0.05,<0.05
CorrelationFsa,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1,<0.05,<0.05
ReliefRidge,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1,<0.05
ReliefFsa,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1
